ExpNum,SubjectID,SubjTrial,ItemNum,ItemNumQuartile,Response,ResponseType,global.argid,RT,TargetWord,MiddleTerm1,MiddleTerm2,TrialType,ExpectedResponse,ResponseWasCorrect,Syllogism,SyllogismSimple,ListNum,premise1,premise2,conclusion,MiddleSyllogismPairing,PrimePairRelationType,excl.subj,excl.trial,loadunload,loadtype,loadtime,digitMatch,FullArgument,stim.ConcTruth,stim.ConcRT,stim.Conc.N,stim.premiseJudgment_P1,stim.premiseRT_P1,stim.N_P1,stim.premiseJudgment_P2,stim.premiseRT_P2,stim.N_P2
M1-cross,1,1_1,1,First,1,FullArgument,1,11949,novel,novel,novel,Polysemy,0,0,Disamis,Disamis,2,Some novels weigh over a pound,All novels are stories,Some stories weigh over a pound,2,NA,0,0,unloaded,NA,NA,NA,Some novels weigh over a pound -- All novels are stories -- Some stories weigh over a pound,0.3,7147.3,20,0.777777777777778,13446.5555555556,18,0.736842105263158,25312.4736842105,19
M1-cross,1,1_2,2,First,0,FullArgument,2,19705,thieves,thieves,thieves,Invalid Filler,0,1,Datisi*,Datisi,2,All mob bosses are thieves,Some thieves are children,Some children are mob bosses,2,NA,0,0,unloaded,NA,NA,NA,All mob bosses are thieves -- Some thieves are children -- Some children are mob bosses,0.230769230769231,8308.61538461538,39,0.375,17214.55,40,0.8,20570.35,20
M1-cross,1,1_3,3,First,0,FullArgument,3,13781,steaks,steaks,steaks,Invalid Filler,0,1,Dimatis*,Dimatis,2,Some delicious entrées are steaks,All rotten ribeyes are steaks,Some rotten ribeyes are delicious entrées,2,NA,0,0,unloaded,NA,NA,NA,Some delicious entrées are steaks -- All rotten ribeyes are steaks -- Some rotten ribeyes are delicious entrées,0,6226.5,20,0.9,10881.9,20,0.6,10881.9,20
M1-cross,1,1_4,4,First,0,FullArgument,4,11583,dances,dances,dances,Invalid Filler,0,1,Disamis*,Disamis,2,Some dances are mating rituals,All ballets are dances,Some ballets are mating rituals,2,NA,0,0,unloaded,NA,NA,NA,Some dances are mating rituals -- All ballets are dances -- Some ballets are mating rituals,0.358974358974359,6154.33333333333,39,0.9,8666.9,20,0.75,9426.625,40
M1-cross,1,1_5,5,First,0,FullArgument,5,13868,ring,ring,ring,Homonymy,0,1,Disamis,Disamis,2,Some rings are made of gold,All rings are sounds,Some sounds are made of gold,2,NA,0,0,unloaded,NA,NA,NA,Some rings are made of gold -- All rings are sounds -- Some sounds are made of gold,0.05,6150,20,0.95,7982.05,20,0.1,8956.875,40
M1-cross,1,1_6,6,First,0,FullArgument,6,9697,mothers,mothers,mothers,Invalid Filler,0,1,Disamis*,Disamis,2,Some mothers are teens,All grandmas are mothers,Some grandmas are teens,2,NA,0,0,unloaded,NA,NA,NA,Some mothers are teens -- All grandmas are mothers -- Some grandmas are teens,0.0263157894736842,5113.78947368421,38,0.95,8872.1,20,0.875,8514.675,40
M1-cross,1,1_7,7,First,1,FullArgument,7,10314,suitcases,suitcases,suitcases,Valid Filler,1,1,Datisi,Datisi,2,All suitcases are pieces of luggage,Some suitcases are bags,Some bags are pieces of luggage,2,NA,0,0,unloaded,NA,NA,NA,All suitcases are pieces of luggage -- Some suitcases are bags -- Some bags are pieces of luggage,0.95,4922.45,20,0.85,15492,20,0.9,15492,20
M1-cross,1,1_8,8,First,0,FullArgument,8,7961,shapes,shapes,shapes,Invalid Filler,0,1,Dimatis*,Dimatis,2,Some road signs are shapes,All cylinders are shapes,Some cylinders are road signs,2,NA,0,0,unloaded,NA,NA,NA,Some road signs are shapes -- All cylinders are shapes -- Some cylinders are road signs,0.384615384615385,7551.84615384615,39,0.95,7785.95,20,0.9,7785.95,20
M1-cross,1,1_9,9,First,0,FullArgument,9,14213,picnic,picnic,picnic,Polysemy,0,1,Darii,Darii,2,All picnics happen in nature,Some salads are picnics,Some salads happen in nature,2,NA,0,0,unloaded,NA,NA,NA,All picnics happen in nature -- Some salads are picnics -- Some salads happen in nature,0.375,6905.9,40,0.275,10218.875,40,0.5,11104.85,20
M1-cross,1,1_10,10,First,0,FullArgument,10,7428,lunch,lunch,lunch,Polysemy,0,1,Datisi,Datisi,2,All lunches are breaks,Some lunches are soups,Some soups are breaks,2,NA,0,0,unloaded,NA,NA,NA,All lunches are breaks -- Some lunches are soups -- Some soups are breaks,0,4516.45,20,0.3,11964.3,40,0.85,10180.05,20
