SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,Pilot-1,1,0,boards,Homonymy,Dimatis,2,NA,3873,Dimatis,0,1,0,0
1_2,1,Pilot-1,2,0,clocks,Invalid Filler,Barbara*,2,NA,8014,Barbara,0,1,0,0
1_3,1,Pilot-1,3,1,whales,Valid Filler,Barbara,2,NA,5279,Barbara,1,1,0,0
1_4,1,Pilot-1,4,0,antiques,Invalid Filler,Darii*,2,NA,3132,Darii,0,1,0,0
1_5,1,Pilot-1,5,0,classes,Polysemy,Disamis,2,NA,3967,Disamis,0,1,0,0
1_6,1,Pilot-1,6,1,negotiations,Valid Filler,Barbara,2,NA,6051,Barbara,1,1,0,0
1_7,1,Pilot-1,7,0,columns,Homonymy,Datisi,2,NA,3398,Datisi,0,1,0,0
1_8,1,Pilot-1,8,0,arms,Homonymy,Disamis,2,NA,2555,Disamis,0,1,0,0
1_9,1,Pilot-1,9,1,stones,Invalid Filler,Datisi*,2,NA,36962,Datisi,0,0,0,0
1_10,1,Pilot-1,10,0,phones,Valid Filler,Barbara,2,NA,4077,Barbara,1,0,0,0
1_11,1,Pilot-1,11,1,actors,Invalid Filler,Datisi*,2,NA,3193,Datisi,0,0,0,0
1_12,1,Pilot-1,12,0,oil,Polysemy,Datisi,2,NA,3996,Datisi,0,1,0,0
1_13,1,Pilot-1,13,0,sausages,Invalid Filler,Datisi*,2,NA,3852,Datisi,0,1,0,0
1_14,1,Pilot-1,14,1,dolls,Valid Filler,Darii,2,NA,5161,Darii,1,1,0,0
1_15,1,Pilot-1,15,1,dates,Homonymy,Disamis,2,NA,2860,Disamis,0,0,0,0
1_16,1,Pilot-1,16,1,ponies,Valid Filler,Datisi,2,NA,3148,Datisi,1,1,0,0
1_17,1,Pilot-1,17,1,rifles,Valid Filler,Disamis,2,NA,2361,Disamis,1,1,0,0
1_18,1,Pilot-1,18,0,subscriptions,Polysemy,Darii,2,NA,4271,Darii,0,1,0,0
1_19,1,Pilot-1,19,1,liars,Valid Filler,Dimatis,2,NA,8781,Dimatis,1,1,0,0
1_20,1,Pilot-1,20,0,injuries,Invalid Filler,Dimatis*,2,NA,3491,Dimatis,0,1,0,0
1_21,1,Pilot-1,21,1,mugs,Valid Filler,Datisi,2,NA,3145,Datisi,1,1,0,0
1_22,1,Pilot-1,22,1,poets,Valid Filler,Datisi,2,NA,2128,Datisi,1,1,0,0
1_23,1,Pilot-1,23,0,newspapers,Polysemy,Dimatis,2,NA,3856,Dimatis,0,1,0,0
1_24,1,Pilot-1,24,0,books,Polysemy,Dimatis,2,NA,36887,Dimatis,0,1,0,0
1_25,1,Pilot-1,25,1,widows,Valid Filler,Dimatis,2,NA,2890,Dimatis,1,1,0,0
1_26,1,Pilot-1,26,0,dances,Invalid Filler,Darii*,2,NA,2836,Darii,0,1,0,0
1_27,1,Pilot-1,27,1,clowns,Valid Filler,Darii,2,NA,2834,Darii,1,1,0,0
1_28,1,Pilot-1,28,1,grapes,Valid Filler,Disamis,2,NA,2660,Disamis,1,1,0,0
1_29,1,Pilot-1,29,0,dreams,Polysemy,Barbara,2,NA,3772,Barbara,0,1,0,0
1_30,1,Pilot-1,30,1,swords,Valid Filler,Disamis,2,NA,3320,Disamis,1,1,0,0
1_31,1,Pilot-1,31,0,peppers,Invalid Filler,Dimatis*,2,NA,3177,Dimatis,0,1,0,0
1_32,1,Pilot-1,32,0,tracks,Homonymy,Darii,2,NA,2442,Darii,0,1,0,0
1_33,1,Pilot-1,33,1,singers,Valid Filler,Darii,2,NA,3234,Darii,1,1,0,0
