SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,Pilot-2,1,0,boards,Homonymy,Dimatis,2,Some committees are boards,All boards are rectangles,Some rectangles are committees,NA,29346,Dimatis,0,1,0,0
1_2,1,Pilot-2,2,0,clocks,Invalid Filler,Barbara*,2,All watches are clocks ,All sundials are clocks ,All watches are sundials ,NA,24289,Barbara,0,1,0,0
1_3,1,Pilot-2,3,1,whales,Valid Filler,Barbara,2,All whales are mammals ,All orcas are whales ,All orcas are mammals,NA,8575,Barbara,1,1,0,0
1_4,1,Pilot-2,4,1,antiques,Invalid Filler,Darii*,2,All medieval manuscripts are antiques ,Some pieces of jewelry are antiques ,Some pieces of jewelry are medieval manuscripts,NA,14748,Darii,0,0,0,0
1_5,1,Pilot-2,5,0,classes,Polysemy,Disamis,2,Some classes are an hour long,All classes are groups of students,Some groups of students are an hour long,NA,34800,Disamis,0,1,0,0
1_6,1,Pilot-2,6,1,negotiations,Valid Filler,Barbara,2,All negotiations aim to reach agreement  ,All union bargainings are negotiations ,All union bargainings aim to reach agreement,NA,42256,Barbara,1,1,0,0
1_7,1,Pilot-2,7,0,columns,Homonymy,Datisi,2,All columns are architectural,Some columns are gossip articles,Some gossip articles are architectural,NA,8644,Datisi,0,1,0,0
1_8,1,Pilot-2,8,0,arms,Homonymy,Disamis,2,Some arms are high caliber,All arms have elbows,Some elbows are high caliber,NA,8429,Disamis,0,1,0,0
1_9,1,Pilot-2,9,0,stones,Invalid Filler,Datisi*,2,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,NA,26530,Datisi,0,1,0,0
1_10,1,Pilot-2,10,1,phones,Valid Filler,Barbara,2,All phones can make calls ,All iPhones are phones ,All iPhones can make calls ,NA,6407,Barbara,1,1,0,0
1_11,1,Pilot-2,11,0,actors,Invalid Filler,Datisi*,2,All male leads are actors,Some actors are women,Some women are male leads,NA,10048,Datisi,0,1,0,0
1_12,1,Pilot-2,12,0,oil,Polysemy,Datisi,2,All oil is extracted from the earth,Some oil is saturated fat,Some saturated fat is extracted from the earth,NA,29315,Datisi,0,1,0,0
1_13,1,Pilot-2,13,1,sausages,Invalid Filler,Datisi*,2,All hot dogs are sausages,Some sausages are salamis,Some hot dogs are salamis,NA,17018,Datisi,0,0,0,0
1_14,1,Pilot-2,14,1,dolls,Valid Filler,Darii,2,All dolls are man made,Some toys are dolls ,Some toys are man made,NA,42523,Darii,1,1,0,0
1_15,1,Pilot-2,15,0,dates,Homonymy,Disamis,2,Some dates are prime numbers,All dates are opportunities for romance,Some opportunities for romance are prime numbers,NA,7140,Disamis,0,1,0,0
1_16,1,Pilot-2,16,1,ponies,Valid Filler,Datisi,2,All ponies neigh,Some ponies are colts,Some colts neigh,NA,6537,Datisi,1,1,0,0
1_17,1,Pilot-2,17,1,rifles,Valid Filler,Disamis,2,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,NA,6618,Disamis,1,1,0,0
1_18,1,Pilot-2,18,1,magazines,Polysemy,Darii,2,All magazines are flammable,Some subscriptions are magazines,Some subscriptions are flammable,NA,8725,Darii,0,0,0,0
1_19,1,Pilot-2,19,1,liars,Valid Filler,Dimatis,2,Some criminals are liars ,All liars are humans,Some humans are criminals ,NA,15122,Dimatis,1,1,0,0
1_20,1,Pilot-2,20,0,injuries,Invalid Filler,Dimatis*,2,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,NA,9440,Dimatis,0,1,0,0
1_21,1,Pilot-2,21,1,mugs,Valid Filler,Datisi,2,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,NA,5055,Datisi,1,1,0,0
1_22,1,Pilot-2,22,1,poets,Valid Filler,Datisi,2,All poets are writers ,Some poets are teachers,Some teachers are writers,NA,10303,Datisi,1,1,0,0
1_23,1,Pilot-2,23,0,newspapers,Polysemy,Dimatis,2,Some recyclables are newspapers,All newspapers employ reporters,Some recyclables employ reporters,NA,6696,Dimatis,0,1,0,0
1_24,1,Pilot-2,24,0,books,Polysemy,Dimatis,2,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,NA,28147,Dimatis,0,1,0,0
1_25,1,Pilot-2,25,1,widows,Valid Filler,Dimatis,2,Some mothers are widows ,All widows are women,Some women are mothers,NA,10880,Dimatis,1,1,0,0
1_26,1,Pilot-2,26,0,dances,Invalid Filler,Darii*,2,All polkas are dances ,Some mating rituals are dances ,Some mating rituals are polkas ,NA,12245,Darii,0,1,0,0
1_27,1,Pilot-2,27,1,clowns,Valid Filler,Darii,2,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,NA,7266,Darii,1,1,0,0
1_28,1,Pilot-2,28,1,grapes,Valid Filler,Disamis,2,Some grapes are red ,All grapes are fruits ,Some fruits are red ,NA,28920,Disamis,1,1,0,0
1_29,1,Pilot-2,29,0,dreams,Polysemy,Barbara,2,All dreams are goals,All nightmares are dreams,All nightmares are goals,NA,5661,Barbara,0,1,0,0
1_30,1,Pilot-2,30,1,swords,Valid Filler,Disamis,2,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,NA,7540,Disamis,1,1,0,0
1_31,1,Pilot-2,31,1,peppers,Invalid Filler,Dimatis*,2,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,NA,9577,Dimatis,0,0,0,0
1_32,1,Pilot-2,32,1,tracks,Homonymy,Darii,2,All tracks are prints left by animals,Some race courses are tracks ,Some race courses are prints left by animals,NA,14934,Darii,0,0,0,0
1_33,1,Pilot-2,33,0,singers,Valid Filler,Darii,2,All singers have an ideal vocal range ,Some guitarists are singers,Some guitarists have an ideal vocal range,NA,32849,Darii,1,0,0,0
1_34,1,Pilot-2,34,0,foundations,Homonymy,Dimatis,2,Some concrete slabs are foundations,All foundations are non-profits,Some non-profits are concrete slabs,NA,9000,Dimatis,0,1,0,0
1_35,1,Pilot-2,35,0,movements,Homonymy,Barbara,2,All movements aim for social change,All reflexes are movements,All reflexes aim for social change,NA,7178,Barbara,0,1,0,0
1_36,1,Pilot-2,36,1,doughnuts,Valid Filler,Darii,2,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,NA,4688,Darii,1,1,0,0
1_37,1,Pilot-2,37,0,steaks,Invalid Filler,Disamis*,2,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,NA,5333,Disamis,0,1,0,0
1_38,1,Pilot-2,38,0,examinations,Polysemy,Disamis,2,Some examinations are life saving,All examinations are graded assignments,Some graded assignments are life saving,NA,8133,Disamis,0,1,0,0
1_39,1,Pilot-2,39,0,admissions,Homonymy,Barbara,2,All guilty pleas are admissions,All admissions are ticketed,All guilty pleas are ticketed,NA,11420,Barbara,0,1,0,0
1_40,1,Pilot-2,40,0,lunches,Polysemy,Darii,2,All lunches are less than three hours long,Some sandwiches are lunches,Some sandwiches are less than three hours long,NA,12597,Darii,0,1,0,0
1_41,1,Pilot-2,41,0,chickens,Polysemy,Datisi,2,All chickens lay eggs,Some chickens are roasts,Some roasts lay legs,NA,48282,Datisi,0,1,0,0
1_42,1,Pilot-2,42,1,dinosaurs,Valid Filler,Barbara,2,All dinosaurs were reptiles,All pterodactyls are dinosaurs,All pterodactyls were reptiles ,NA,7618,Barbara,1,1,0,0
