SubjTrial,SubjectID,ExpNum,ItemNum,Response,MiddleTerm1,MiddleTerm2,relationtype,TrialType,Syllogism,ListNum,OrderNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,N5-c-M3,1,1,thunder,lightning,category,Related,Dimatis,1,1,Some rumbling is thunder,All lightning is bright light,Some bright light is rumbling,NA,10177,Dimatis,0,0,0,0
1_2,1,N5-c-M3,2,0,sock,shoe,category,Related,Datisi,1,1,All socks are elastic,Some shoes are high heels,Some high heels are elastic,NA,8658,Datisi,0,1,0,0
1_3,1,N5-c-M3,3,0,shapes,shapes,*,Invalid Filler,Disamis*,1,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,NA,4431,Disamis,0,1,0,0
1_4,1,N5-c-M3,4,1,widows,widows,*,Valid Filler,Dimatis,1,1,Some parents are widows ,All widows are women,Some women are parents,NA,3495,Dimatis,1,1,0,0
1_5,1,N5-c-M3,5,0,sack,clam,*,Unrelated,Dimatis,1,1,Some bags are sacks ,All clams are sea creatures,Some sea creatures are bags,NA,3515,Dimatis,0,1,0,0
1_6,1,N5-c-M3,6,0,throne ,king,script,Related,Dimatis,1,1,Some seats are thrones,All kings are rulers,Some rulers are seats,NA,5810,Dimatis,0,1,0,0
1_7,1,N5-c-M3,7,0,toilets,toilets,*,Invalid Filler,Disamis*,1,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,NA,4165,Disamis,0,1,0,0
1_8,1,N5-c-M3,8,1,suitcases,suitcases,*,Valid Filler,Dimatis,1,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,NA,3710,Dimatis,1,1,0,0
1_9,1,N5-c-M3,9,1,singers,singers,*,Valid Filler,Darii,1,1,All singers are vocalists ,Some guitarists are singers,Some guitarists are vocalists,NA,3681,Darii,1,1,0,0
1_10,1,N5-c-M3,10,1,grapes,grapes,*,Valid Filler,Disamis,1,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,NA,3298,Disamis,1,1,0,0
1_11,1,N5-c-M3,11,0,rabbi,toothbrush,*,Unrelated,Darii,1,1,All rabbis are Jewish,Some toiletries are toothbrushes,Some toiletries are Jewish,NA,3531,Darii,0,1,0,0
1_12,1,N5-c-M3,12,0,microscope,mob,*,Unrelated,Dimatis,1,1,Some scientific instruments are microscopes,All mobs are criminal organizations,Some criminal organizations are scientific instruments,NA,6112,Dimatis,0,1,0,0
1_13,1,N5-c-M3,13,1,clowns,clowns,*,Valid Filler,Darii,1,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,NA,3929,Darii,1,1,0,0
