SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,premise1,premise2,conclusion,loadtime,NominalType,AC1,AC2,dominancePercent,abstractType,categoryMistake,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,N3-c-M2,1,1,novel,Polysemy,Darii,2,All novels are printed,Some ideas are novels,Some ideas are printed,*,book-type,C,A,96.7,info,0.1428571429,NA,8216,Darii,0,0,0,0
1_2,1,N3-c-M2,2,1,breakfast,Polysemy,Darii,2,All breakfasts are under three hours,Some smoothies are breakfasts,Some smoothies are under three hours,*,lunch-type,A,C,87.1,event,0.7142857143,NA,7257,Darii,0,0,0,0
1_3,1,N3-c-M2,3,0,shapes,Invalid Filler,Disamis*,2,Some shapes are triangles,All squares are shapes,Some squares are triangles,*,*,*,*,*,*,*,NA,5128,Disamis,0,1,0,0
1_4,1,N3-c-M2,4,0,ball,Homonymy,Dimatis,2,Some dances are balls,All balls are circles,Some circles are dances,*,*,A,C,*,*,0.1666666667,NA,18828,Dimatis,0,1,0,0
1_5,1,N3-c-M2,5,1,ponies,Valid Filler,Datisi,2,All ponies neigh,Some ponies are colts,Some colts neigh,*,*,*,*,*,*,*,NA,34245,Datisi,1,1,0,0
1_6,1,N3-c-M2,6,1,change,Homonymy,Darii,2,All change is legal tender,Some political revolutions are change,Some political revolutions are legal tender,*,*,C,A,*,*,0.8571428571,NA,19665,Darii,0,0,0,0
1_7,1,N3-c-M2,7,1,mugs,Valid Filler,Datisi,2,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,*,*,*,*,*,*,*,NA,6208,Datisi,1,1,0,0
1_8,1,N3-c-M2,8,0,star,Homonymy,Datisi,2,All stars are charismatic,Some stars are pulsars,Some pulsars are charismatic,*,*,*,*,*,*,0.7142857143,NA,25087,Datisi,0,1,0,0
1_9,1,N3-c-M2,9,1,mothers,Invalid Filler,Darii*,2,All grandmothers are mothers ,Some teens are mothers,Some grandmothers are teens,*,*,*,*,*,*,*,NA,16535,Darii,0,0,0,0
1_10,1,N3-c-M2,10,0,ring,Homonymy,Darii,2,All rings are sounds,Some accessories are rings,Some accessories are sounds,*,*,A,C,*,*,0.7142857143,NA,8892,Darii,0,1,0,0
1_11,1,N3-c-M2,11,1,grapes,Valid Filler,Disamis,2,Some grapes are red ,All grapes are fruits ,Some fruits are red ,*,*,*,*,*,*,*,NA,2440,Disamis,1,1,0,0
1_12,1,N3-c-M2,12,1,board,Homonymy,Dimatis,2,Some groups are boards,All boards are materials,Some materials are groups,*,*,A,C,*,*,0.5,NA,5139,Dimatis,0,0,0,0
1_13,1,N3-c-M2,13,0,toilets,Invalid Filler,Disamis*,2,Some toilets are coed,All urinals are toilets,Some urinals are coed,*,*,*,*,*,*,*,NA,40494,Disamis,0,1,0,0
1_14,1,N3-c-M2,14,0,suit,Homonymy,Disamis,2,Some suits are settled out of court,All suits are formal outfits,Some formal outfits are settled out of court,*,*,A,C,*,*,0.7142857143,NA,21546,Disamis,0,1,0,0
1_15,1,N3-c-M2,15,0,novel,Polysemy,Darii,2,All novels are flammable,Some debuts are novels,Some debuts are flammable,*,book-type,C,A,96.7,info,1,NA,3824,Darii,0,1,0,0
1_16,1,N3-c-M2,16,1,match,Homonymy,Disamis,2,Some matches are shown on TV,All matches are fire starters,Some fire starters are shown on TV,*,*,A,C,*,*,0,NA,5105,Disamis,0,0,0,0
1_17,1,N3-c-M2,17,1,novel,Polysemy,Darii,2,All novels are bound,Some mysteries are novels,Some mysteries are bound,*,book-type,C,A,96.7,info,0,NA,3300,Darii,0,0,0,0
1_18,1,N3-c-M2,18,1,book,Polysemy,Dimatis,2,Some purchases are books,All books are creative endeavours,Some creative endeavours are purchases,*,book-type,C,A,64.5,info,0.1428571429,NA,4646,Dimatis,0,0,0,0
1_19,1,N3-c-M2,19,1,widows,Valid Filler,Dimatis,2,Some mothers are widows ,All widows are women,Some women are mothers,*,*,*,*,*,*,*,NA,2022,Dimatis,1,1,0,0
1_20,1,N3-c-M2,20,1,dolls,Valid Filler,Darii,2,All dolls are man made,Some toys are dolls ,Some toys are man made,*,*,*,*,*,*,*,NA,2023,Darii,1,1,0,0
1_21,1,N3-c-M2,21,0,rock ,Homonymy,Datisi,2,All rock is rhythmic,Some rock is granite,Some granite is rhythmic,*,*,A,C,100,*,0.8571428571,NA,5439,Datisi,0,1,0,0
1_22,1,N3-c-M2,22,1,change,Homonymy,Darii,2,All change is money,Some surprises are change,Some surprises are money,*,*,C,A,*,*,0,NA,1966,Darii,0,0,0,0
1_23,1,N3-c-M2,23,1,match,Homonymy,Disamis,2,Some matches are competitive,All matches are tools,Some tools are competitive,*,*,A,C,80,*,0.5714285714,NA,2099,Disamis,0,0,0,0
1_24,1,N3-c-M2,24,1,book,Polysemy,Dimatis,2,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,*,book-type,C,A,64.5,info,0.5714285714,NA,2502,Dimatis,0,0,0,0
