SubjTrial,SubjectID,ExpNum,ItemNum,Response,digitMatch,TargetWord,TrialType,Syllogism,ListNum,premise1,premise2,conclusion,loadtime,NominalType,AC1,AC2,dominancePercent,abstractType,categoryMistake,ConcTruth,ConcRT,RandDig,FullStudyLoadType,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,S1-load-M2,1,1,NA,poets,Valid Filler,Datisi,1,All poets are writers ,Some poets are teachers,Some teachers are writers,*,*,*,*,*,*,*,0.975,3928.975,*,750,7041,Datisi,1,1,0,0
1_2,1,S1-load-M2,2,1,NA,widows,Valid Filler,Dimatis,1,Some mothers are widows ,All widows are women,Some women are mothers,*,*,*,*,*,*,*,1,2726.325,*,750,7094,Dimatis,1,1,0,0
1_3,1,S1-load-M2,3,1,NA,ruler,Homonymy,Disamis,1,Some rulers are kings,All rulers are standard lengths,Some standard lengths are kings,*,*,*,*,80,*,0.8571428571,0.125,5032.65,*,750,6087,Disamis,0,0,0,0
1_4,1,S1-load-M2,4,0,NA,magazines,Polysemy,Disamis,1,Some magazines are coffee-stained,All magazines are subscriptions,Some subscriptions are coffee-stained,*,book-type,C,A,68.9,info,0.2857142857,0.12820513,3613.5641,*,750,6607,Disamis,0,1,0,0
1_5,1,S1-load-M2,5,0,NA,dresses,Invalid Filler,Darii*,1,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,*,*,*,*,*,*,*,0.65,5066.6,*,750,5823,Darii,0,1,0,0
1_6,1,S1-load-M2,6,1,NA,thieves,Invalid Filler,Dimatis*,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,*,*,*,*,*,*,*,0.225,5599.825,*,750,6335,Dimatis,0,0,0,0
1_7,1,S1-load-M2,7,0,NA,dinner,Polysemy,Disamis,1,Some dinners are black tie,All dinners are foods,Some foods are black tie,*,lunch-type,A,C,90,event,0.5714285714,0.225,3571.775,*,750,7279,Disamis,0,1,0,0
1_8,1,S1-load-M2,8,0,NA,school,Polysemy,Disamis,1,Some schools are rectangular,All schools are employers,Some employers are rectangular,*,city-type,C,A,45.1,inst,0.5714285714,0.1,2856.95,*,750,6095,Disamis,0,1,0,0
1_9,1,S1-load-M2,9,1,NA,star,Homonymy,Datisi,1,All stars are famous ,Some stars are red dwarfs,Some red dwarfs are famous,*,*,*,*,100,*,0,0.375,3338.975,*,750,78542,Datisi,0,0,0,0
1_10,1,S1-load-M2,10,0,NA,picnic,Polysemy,Datisi,1,All picnics happen in nature,Some picnics are salads,Some salads happen in nature,*,lunch-type,A,C,59.2,event,0.5714285714,0.425,4573.125,*,750,5855,Datisi,0,1,0,0
1_11,1,S1-load-M2,11,0,NA,dances,Invalid Filler,Darii*,1,All polkas are dances ,Some mating rituals are dances ,Some mating rituals are polkas ,*,*,*,*,*,*,*,0.25,3557.725,*,750,5967,Darii,0,1,0,0
1_12,1,S1-load-M2,12,1,NA,dolls,Valid Filler,Darii,1,All dolls are man made,Some toys are dolls ,Some toys are man made,*,*,*,*,*,*,*,1,3066.525,*,750,6072,Darii,1,1,0,0
1_13,1,S1-load-M2,13,1,NA,funerals,Invalid Filler,Datisi*,1,All open-casket services are funerals,Some funerals are cremations,Some cremations are open-casket services,*,*,*,*,*,*,*,0.4,5086.4,*,750,7151,Datisi,0,0,0,0
1_14,1,S1-load-M2,14,0,NA,match,Homonymy,Disamis,1,Some matches are shown on TV,All matches are fire starters,Some fire starters are shown on TV,*,*,A,C,80,*,0,0.85,5008.1,*,750,7871,Disamis,0,1,0,0
1_15,1,S1-load-M2,15,1,NA,suitcases,Valid Filler,Dimatis,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,*,*,*,*,*,*,*,1,3671.55,*,750,6727,Dimatis,1,1,0,0
1_16,1,S1-load-M2,16,0,NA,shapes,Invalid Filler,Disamis*,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,*,*,*,*,*,*,*,0,4538.9,*,750,15646,Disamis,0,1,0,0
1_17,1,S1-load-M2,17,0,NA,spices,Invalid Filler,Dimatis*,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,*,*,*,*,*,*,*,0.4,4410.8,*,750,16192,Dimatis,0,1,0,0
1_18,1,S1-load-M2,18,0,NA,burgers,Valid Filler,Disamis,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,*,*,*,*,*,*,*,0.925,4389.725,*,750,20078,Disamis,1,0,0,0
1_19,1,S1-load-M2,19,0,NA,ponies,Valid Filler,Datisi,1,All ponies neigh,Some ponies are colts,Some colts neigh,*,*,*,*,*,*,*,0.675,4349.025,*,750,5847,Datisi,1,0,0,0
1_20,1,S1-load-M2,20,0,NA,novel,Polysemy,Darii,1,All novels are flammable,Some debuts are novels,Some debuts are flammable,*,book-type,C,A,96.7,info,1,0.15,6119.3,*,750,17447,Darii,0,1,0,0
1_21,1,S1-load-M2,21,1,NA,peppers,Invalid Filler,Dimatis*,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,*,*,*,*,*,*,*,0.425,8075.125,*,750,5846,Dimatis,0,0,0,0
1_22,1,S1-load-M2,22,0,NA,suit,Homonymy,Disamis,1,Some suits have multiple defendants,All suits are dress attire,Some dress attire has multiple defendants,*,*,A,C,100,*,0.5714285714,0.075,5412.1,*,750,39111,Disamis,0,1,0,0
1_23,1,S1-load-M2,23,0,NA,ball,Homonymy,Dimatis,1,Some parties are balls,All balls are toys,Some toys are parties,*,*,A,C,100,*,0.7142857143,0.175,4203.925,*,750,12550,Dimatis,0,1,0,0
1_24,1,S1-load-M2,24,1,NA,bat,Homonymy,Darii,1,All bats share a common ancestor,Some sporting goods are bats,Some sporting goods share a common ancestor,*,*,*,*,80,*,0.2857142857,0.4,5008,*,750,5784,Darii,0,0,0,0
1_25,1,S1-load-M2,25,0,NA,swords,Valid Filler,Disamis,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,*,*,*,*,*,*,*,0.8,6880.1,*,750,6902,Disamis,1,0,0,0
1_26,1,S1-load-M2,26,1,NA,rifles,Valid Filler,Disamis,1,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,*,*,*,*,*,*,*,1,4771.725,*,750,6335,Disamis,1,1,0,0
1_27,1,S1-load-M2,27,0,NA,mugs,Valid Filler,Datisi,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,*,*,*,*,*,*,*,1,3091.05,*,750,16927,Datisi,1,0,0,0
1_28,1,S1-load-M2,28,0,NA,grapes,Valid Filler,Disamis,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,*,*,*,*,*,*,*,1,3059.8,*,750,6359,Disamis,1,0,0,0
1_29,1,S1-load-M2,29,0,NA,doughnuts,Valid Filler,Darii,1,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,*,*,*,*,*,*,*,0.95,3292.475,*,750,10022,Darii,1,0,0,0
1_30,1,S1-load-M2,30,0,NA,clowns,Valid Filler,Darii,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,*,*,*,*,*,*,*,0.975,3767.925,*,750,36415,Darii,1,0,0,0
1_31,1,S1-load-M2,31,0,NA,rock,Homonymy,Datisi,1,All rock has guitars,Some rock is marble,Some marble has guitars,*,*,A,C,100,*,0.8571428571,0.05,3983.6,*,750,5902,Datisi,0,1,0,0
1_32,1,S1-load-M2,32,0,NA,stones,Invalid Filler,Datisi*,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,*,*,*,*,*,*,*,0.17948718,4940.5641,*,750,8902,Datisi,0,1,0,0
1_33,1,S1-load-M2,33,0,NA,cabinet,Homonymy,Datisi,1,All cabinets are political appointments,Some cabinets are antique furniture,Some antique furniture are political appointments,*,*,A,C,100,*,0.8571428571,0.025,4910.75,*,750,8647,Datisi,0,1,0,0
1_34,1,S1-load-M2,34,1,NA,ring,Homonymy,Darii,1,All rings are sounds,Some accessories are rings,Some accessories are sounds,*,*,A,C,100,*,0.7142857143,0.275,3957.775,*,750,6575,Darii,0,0,0,0
1_35,1,S1-load-M2,35,0,NA,lunch,Polysemy,Dimatis,1,Some breaks are lunches,All lunches are entrées,Some entrées are breaks,*,lunch-type,A,C,96.6,event,0.7142857143,0.125,5002.3,*,750,12710,Dimatis,0,1,0,0
1_36,1,S1-load-M2,36,1,NA,wave,Homonymy,Dimatis,1,Some gestures are waves,Some waves are ripples,Some ripples are gestures,*,*,A,C,100,*,0.4285714286,0.25641026,6582.48718,*,750,5630,Dimatis,0,0,0,0
1_37,1,S1-load-M2,37,0,NA,book,Polysemy,Dimatis,1,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,*,book-type,C,A,64.5,info,0.5714285714,0.12820513,4958.76923,*,750,5800,Dimatis,0,1,0,0
1_38,1,S1-load-M2,38,0,NA,liars,Valid Filler,Dimatis,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,*,*,*,*,*,*,*,1,4285.51282,*,750,15216,Dimatis,1,0,0,0
1_39,1,S1-load-M2,39,1,NA,steaks,Invalid Filler,Disamis*,1,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,*,*,*,*,*,*,*,0.225,5186.55,*,750,5710,Disamis,0,0,0,0
1_40,1,S1-load-M2,40,1,NA,mothers,Invalid Filler,Darii*,1,All grandmothers are mothers ,Some teens are mothers,Some grandmothers are teens,*,*,*,*,*,*,*,0.175,6414.3,*,750,8319,Darii,0,0,0,0
1_41,1,S1-load-M2,41,1,NA,sausages,Invalid Filler,Datisi*,1,All hot dogs are sausages,Some sausages are salamis,Some hot dogs are salamis,*,*,*,*,*,*,*,0.175,2931.35,*,750,5694,Datisi,0,0,0,0
1_42,1,S1-load-M2,42,0,NA,toilets,Invalid Filler,Disamis*,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,*,*,*,*,*,*,*,0.375,5804.4,*,750,5751,Disamis,0,1,0,0
1_43,1,S1-load-M2,43,0,NA,antiques,Invalid Filler,Darii*,1,All medieval manuscripts are antiques ,Some pieces of jewelry are antiques ,Some pieces of jewelry are medieval manuscripts,*,*,*,*,*,*,*,0.25,6885.35,*,750,17855,Darii,0,1,0,0
1_44,1,S1-load-M2,44,1,NA,college,Polysemy,Darii,1,All colleges grant degrees,Some colleges are historic buildings,Some historic buildings grant degrees,*,city-type,A,C,56.6,inst,0.2857142857,0.575,5629.95,*,750,5926,Darii,0,0,0,0
1_45,1,S1-load-M2,45,0,NA,colors,Invalid Filler,Disamis*,1,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,*,*,*,*,*,*,*,0.225,5122.475,*,750,10871,Disamis,0,1,0,0
1_46,1,S1-load-M2,46,1,NA,singers,Valid Filler,Darii,1,All singers have an ideal vocal range ,Some guitarists are singers,Some guitarists have an ideal vocal range,*,*,*,*,*,*,*,0.925,4672.55,*,750,6391,Darii,1,1,0,0
1_47,1,S1-load-M2,47,1,NA,statues,Valid Filler,Datisi,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,*,*,*,*,*,*,*,0.9,3392.275,*,750,6503,Datisi,1,1,0,0
1_48,1,S1-load-M2,48,0,NA,breakfast,Polysemy,Darii,1,All breakfasts are under three hours,Some smoothies are breakfasts,Some smoothies are under three hours,*,lunch-type,A,C,87.1,event,0.7142857143,0.525,5068.825,*,750,43886,Darii,0,1,0,0
1_49,1,S1-load-M2,49,0,NA,company,Polysemy,Dimatis,1,Some storefronts are companies,All companies are hierarchies,Some hierarchies are storefronts,*,city-type,C,A,83.8,inst,0.7142857143,0.25,4713.05,*,750,5887,Dimatis,0,1,0,0
1_50,1,S1-load-M2,50,0,NA,actors,Invalid Filler,Datisi*,1,All male leads are actors,Some actors are women,Some women are male leads,*,*,*,*,*,*,*,0.4,4720.6,*,750,13903,Datisi,0,1,0,0
1_51,1,S1-load-M2,51,1,NA,board,Homonymy,Dimatis,1,Some governing organizations are boards,All boards are wooden planks,Some wooden planks are governing organizations,*,*,A,C,80,*,1,0.1,5379.9,*,750,6279,Dimatis,0,0,0,0
1_52,1,S1-load-M2,52,0,NA,trucks,Valid Filler,Dimatis,1,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,*,*,*,*,*,*,*,0.975,4508.475,*,750,6774,Dimatis,1,0,0,0
1_53,1,S1-load-M2,53,0,NA,letter,Polysemy,Datisi,1,All letters have stamps,Some letters are rejections,Some rejections have stamps,*,book-type,C,A,78.5,info,0,0.7,4504.25,*,750,5976,Datisi,0,1,0,0
1_54,1,S1-load-M2,54,0,NA,city,Polysemy,Datisi,1,All cities are bureaucracies,Some cities are graffitied ,Some bureaucracies are graffitied,*,city-type,A,C,67.7,inst,0.2857142857,0.375,4022.55,*,750,7591,Datisi,0,1,0,0
1_55,1,S1-load-M2,55,0,NA,injuries,Invalid Filler,Dimatis*,1,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,*,*,*,*,*,*,*,0.1,5963.025,*,750,6846,Dimatis,0,1,0,0
1_56,1,S1-load-M2,56,1,NA,change,Homonymy,Darii,1,All change is money,Some surprises are change,Some surprises are money,*,*,C,A,60,*,0,1,4466.87179,*,750,12872,Darii,0,0,0,0
2_1,2,S1-load-M2,1,0,1,injuries,Invalid Filler,Dimatis*,2,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,*,*,*,*,*,*,*,0.1,5963.025,890,ThreeDig,25036,Dimatis,0,1,0,0
