SubjTrial,SubjectID,ExpNum,ItemNum,Response,TrialType,premise,premisenum,ListNum,digitMatch,RT,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,N4-p-M2,1,1,NA,All poets are writers ,P1,ordered,NA,7197,1,1,0,0
1_2,1,N4-p-M2,2,1,NA,Some poets are teachers,P2,ordered,NA,3833,1,1,0,0
1_3,1,N4-p-M2,3,1,NA,Some mothers are widows ,P1,ordered,NA,3619,1,1,0,0
1_4,1,N4-p-M2,4,0,NA,All widows are women,P2,ordered,NA,6957,1,0,0,0
1_5,1,N4-p-M2,5,1,NA,Some rulers are kings,P1,ordered,NA,8972,1,1,0,0
1_6,1,N4-p-M2,6,0,NA,All rulers are standard lengths,P2,ordered,NA,8335,1,0,0,0
1_7,1,N4-p-M2,7,1,NA,Some magazines are coffee-stained,P1,ordered,NA,4242,1,1,0,0
1_8,1,N4-p-M2,8,0,NA,All magazines are subscriptions,P2,ordered,NA,3179,1,0,0,0
1_9,1,N4-p-M2,9,1,NA,All ball gowns are dresses ,P1,ordered,NA,4939,1,1,0,0
1_10,1,N4-p-M2,10,1,NA,Some cocktail outfits are dresses,P2,ordered,NA,3595,1,1,0,0
1_11,1,N4-p-M2,11,1,NA,Some children are thieves,P1,ordered,NA,2719,1,1,0,0
1_12,1,N4-p-M2,12,1,NA,All mob bosses are thieves,P2,ordered,NA,5867,1,1,0,0
1_13,1,N4-p-M2,13,1,NA,Some dinners are black tie,P1,ordered,NA,4105,1,1,0,0
1_14,1,N4-p-M2,14,1,NA,All dinners are foods,P2,ordered,NA,3955,1,1,0,0
1_15,1,N4-p-M2,15,1,NA,Some schools are rectangular,P1,ordered,NA,3913,1,1,0,0
1_16,1,N4-p-M2,16,1,NA,All schools are employers,P2,ordered,NA,4609,1,1,0,0
1_17,1,N4-p-M2,17,0,NA,All stars are famous ,P1,ordered,NA,2899,1,0,0,0
1_18,1,N4-p-M2,18,0,NA,Some stars are red dwarfs,P2,ordered,NA,4008,1,0,0,0
1_19,1,N4-p-M2,19,1,NA,All picnics happen in nature,P1,ordered,NA,6877,1,1,0,0
1_20,1,N4-p-M2,20,0,NA,Some picnics are salads,P2,ordered,NA,4568,1,0,0,0
1_21,1,N4-p-M2,21,1,NA,All polkas are dances ,P1,ordered,NA,4089,1,1,0,0
1_22,1,N4-p-M2,22,1,NA,Some mating rituals are dances ,P2,ordered,NA,3801,1,1,0,0
1_23,1,N4-p-M2,23,1,NA,All dolls are man made,P1,ordered,NA,4047,1,1,0,0
1_24,1,N4-p-M2,24,1,NA,Some toys are dolls ,P2,ordered,NA,2862,1,1,0,0
1_25,1,N4-p-M2,25,1,NA,All open-casket services are funerals,P1,ordered,NA,3621,1,1,0,0
1_26,1,N4-p-M2,26,0,NA,Some funerals are cremations,P2,ordered,NA,10035,1,0,0,0
1_27,1,N4-p-M2,27,1,NA,Some matches are shown on TV,P1,ordered,NA,3503,1,1,0,0
1_28,1,N4-p-M2,28,0,NA,All matches are fire starters,P2,ordered,NA,5411,1,0,0,0
1_29,1,N4-p-M2,29,1,NA,Some bags are suitcases,P1,ordered,NA,3135,1,1,0,0
1_30,1,N4-p-M2,30,0,NA,All suitcases are pieces of luggage,P2,ordered,NA,8571,1,0,0,0
1_31,1,N4-p-M2,31,1,NA,Some shapes are triangles,P1,ordered,NA,4253,1,1,0,0
1_32,1,N4-p-M2,32,1,NA,All squares are shapes,P2,ordered,NA,6656,1,1,0,0
1_33,1,N4-p-M2,33,0,NA,Some dried roots are spices ,P1,ordered,NA,4754,1,0,0,0
1_34,1,N4-p-M2,34,0,NA,All mustard seeds are spices ,P2,ordered,NA,6000,1,0,0,0
1_35,1,N4-p-M2,35,1,NA,Some burgers are overcooked ,P1,ordered,NA,2628,1,1,0,0
1_36,1,N4-p-M2,36,1,NA,All burgers are sandwiches,P2,ordered,NA,3606,1,1,0,0
1_37,1,N4-p-M2,37,1,NA,All ponies neigh,P1,ordered,NA,3546,1,1,0,0
1_38,1,N4-p-M2,38,1,NA,Some ponies are colts,P2,ordered,NA,3369,1,1,0,0
1_39,1,N4-p-M2,39,1,NA,All novels are flammable,P1,ordered,NA,4207,1,1,0,0
1_40,1,N4-p-M2,40,1,NA,Some debuts are novels,P2,ordered,NA,6697,1,1,0,0
1_41,1,N4-p-M2,41,1,NA,Some yellow vegetables are peppers ,P1,ordered,NA,3379,1,1,0,0
1_42,1,N4-p-M2,42,0,NA,All jalapenos are peppers,P2,ordered,NA,7073,1,0,0,0
1_43,1,N4-p-M2,43,1,NA,Some suits have multiple defendents,P1,ordered,NA,5679,1,1,0,0
1_44,1,N4-p-M2,44,0,NA,All suits are dress attire,P2,ordered,NA,3781,1,0,0,0
1_45,1,N4-p-M2,45,1,NA,Some parties are balls,P1,ordered,NA,3109,1,1,0,0
1_46,1,N4-p-M2,46,0,NA,All balls are toys,P2,ordered,NA,3653,1,0,0,0
1_47,1,N4-p-M2,47,0,NA,All bats share a common ancestor,P1,ordered,NA,6343,1,0,0,0
1_48,1,N4-p-M2,48,1,NA,Some sporting goods are bats,P2,ordered,NA,3461,1,1,0,0
1_49,1,N4-p-M2,49,1,NA,Some swords are decorative,P1,ordered,NA,3171,1,1,0,0
1_50,1,N4-p-M2,50,0,NA,All swords are weapons ,P2,ordered,NA,3759,1,0,0,0
1_51,1,N4-p-M2,51,1,NA,Some rifles are for hunting,P1,ordered,NA,5184,1,1,0,0
1_52,1,N4-p-M2,52,1,NA,All rifles are guns ,P2,ordered,NA,3315,1,1,0,0
1_53,1,N4-p-M2,53,1,NA,All mugs are cups ,P1,ordered,NA,6630,1,1,0,0
1_54,1,N4-p-M2,54,1,NA,Some mugs are ceramics,P2,ordered,NA,2938,1,1,0,0
1_55,1,N4-p-M2,55,1,NA,Some grapes are red ,P1,ordered,NA,3833,1,1,0,0
1_56,1,N4-p-M2,56,1,NA,All grapes are fruits ,P2,ordered,NA,3509,1,1,0,0
1_57,1,N4-p-M2,57,1,NA,All doughnuts are sugary ,P1,ordered,NA,7503,1,1,0,0
1_58,1,N4-p-M2,58,1,NA,Some pastries are doughnuts ,P2,ordered,NA,3257,1,1,0,0
