SubjTrial,SubjectID,ExpNum,ItemNum,PremiseNum,Response,TargetWord,TrialType,Syllogism,MiddleSyllogismPairing,ListNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,N2-p-M1,1,answer-P1,0,rock,Homonymy,Darii,2,1,All rock has guitars,Some marble is rock,Some marble has guitars,NA,15268,Darii,0,1,0,0
1_1,1,N2-p-M1,1,answer-P2,1,rock,Homonymy,Darii,2,1,All rock has guitars,Some marble is rock,Some marble has guitars,NA,15268,Darii,0,0,0,0
1_2,1,N2-p-M1,2,answer-P1,0,trucks,Valid Filler,Datisi,2,1,All trucks are vehicles,Some trucks are big rigs,Some big rigs are vehicles,NA,13487,Datisi,1,0,0,0
1_2,1,N2-p-M1,2,answer-P2,1,trucks,Valid Filler,Datisi,2,1,All trucks are vehicles,Some trucks are big rigs,Some big rigs are vehicles,NA,13487,Datisi,1,1,0,0
1_3,1,N2-p-M1,3,answer-P1,0,star,Homonymy,Darii,2,1,All stars have autographs,Some red dwarfs are stars,Some red dwarfs have autographs,NA,6838,Darii,0,1,0,0
1_3,1,N2-p-M1,3,answer-P2,1,star,Homonymy,Darii,2,1,All stars have autographs,Some red dwarfs are stars,Some red dwarfs have autographs,NA,6838,Darii,0,0,0,0
1_4,1,N2-p-M1,4,answer-P1,1,injuries,Invalid Filler,Datisi*,2,1,All broken bones are injuries,Some injuries are sunburns,Some sunburns are broken bones,NA,7515,Datisi,0,0,0,0
1_4,1,N2-p-M1,4,answer-P2,1,injuries,Invalid Filler,Datisi*,2,1,All broken bones are injuries,Some injuries are sunburns,Some sunburns are broken bones,NA,7515,Datisi,0,0,0,0
1_5,1,N2-p-M1,5,answer-P1,1,peppers,Invalid Filler,Datisi*,2,1,All jalapenos are peppers,Some peppers are yellow vegetables ,Some yellow vegetables are jalapenos,NA,7181,Datisi,0,0,0,0
1_5,1,N2-p-M1,5,answer-P2,1,peppers,Invalid Filler,Datisi*,2,1,All jalapenos are peppers,Some peppers are yellow vegetables ,Some yellow vegetables are jalapenos,NA,7181,Datisi,0,0,0,0
1_6,1,N2-p-M1,6,answer-P1,1,grapes,Valid Filler,Dimatis,2,1,Some snacks are grapes,All grapes are fruits ,Some fruits are snacks,NA,6401,Dimatis,1,1,0,0
1_6,1,N2-p-M1,6,answer-P2,1,grapes,Valid Filler,Dimatis,2,1,Some snacks are grapes,All grapes are fruits ,Some fruits are snacks,NA,6401,Dimatis,1,1,0,0
1_7,1,N2-p-M1,7,answer-P1,0,spices,Invalid Filler,Datisi*,2,1,All mustard seeds are spices ,Some spices are dried roots ,Some dried roots are mustard seeds,NA,7434,Datisi,0,1,0,0
1_7,1,N2-p-M1,7,answer-P2,1,spices,Invalid Filler,Datisi*,2,1,All mustard seeds are spices ,Some spices are dried roots ,Some dried roots are mustard seeds,NA,7434,Datisi,0,0,0,0
1_8,1,N2-p-M1,8,answer-P1,0,city,Polysemy,Darii,2,1,All cities are bureaucracies,Some graffitied places are cities,Some graffitied places are bureaucracies,NA,7358,Darii,0,1,0,0
1_8,1,N2-p-M1,8,answer-P2,1,city,Polysemy,Darii,2,1,All cities are bureaucracies,Some graffitied places are cities,Some graffitied places are bureaucracies,NA,7358,Darii,0,0,0,0
1_9,1,N2-p-M1,9,answer-P1,0,sausages,Invalid Filler,Darii*,2,1,All chili dogs are sausages,Some pizza toppings are sausages,Some pizza toppings are chili dogs,NA,9228,Darii,0,1,0,0
1_9,1,N2-p-M1,9,answer-P2,1,sausages,Invalid Filler,Darii*,2,1,All chili dogs are sausages,Some pizza toppings are sausages,Some pizza toppings are chili dogs,NA,9228,Darii,0,0,0,0
1_10,1,N2-p-M1,10,answer-P1,0,lunch,Polysemy,Datisi,2,1,All lunches are breaks,Some lunches are soups,Some soups are breaks,NA,9610,Datisi,0,1,0,0
1_10,1,N2-p-M1,10,answer-P2,1,lunch,Polysemy,Datisi,2,1,All lunches are breaks,Some lunches are soups,Some soups are breaks,NA,9610,Datisi,0,0,0,0
1_11,1,N2-p-M1,11,answer-P1,1,ring,Homonymy,Disamis,2,1,Some rings are made of gold,All rings are sounds,Some sounds are made of gold,NA,5959,Disamis,0,0,0,0
1_11,1,N2-p-M1,11,answer-P2,0,ring,Homonymy,Disamis,2,1,Some rings are made of gold,All rings are sounds,Some sounds are made of gold,NA,5959,Disamis,0,1,0,0
1_12,1,N2-p-M1,12,answer-P1,1,doughnuts,Valid Filler,Disamis,2,1,Some doughnuts are glazed,All doughnuts are sugary foods,Some sugary foods are glazed,NA,7357,Disamis,1,1,0,0
1_12,1,N2-p-M1,12,answer-P2,1,doughnuts,Valid Filler,Disamis,2,1,Some doughnuts are glazed,All doughnuts are sugary foods,Some sugary foods are glazed,NA,7357,Disamis,1,1,0,0
1_13,1,N2-p-M1,13,answer-P1,0,board,Homonymy,Datisi,2,1,All boards are wooden planks,Some boards are governing organizations,Some governing organizations are wooden planks,NA,5836,Datisi,0,1,0,0
1_13,1,N2-p-M1,13,answer-P2,1,board,Homonymy,Datisi,2,1,All boards are wooden planks,Some boards are governing organizations,Some governing organizations are wooden planks,NA,5836,Datisi,0,0,0,0
1_14,1,N2-p-M1,14,answer-P1,1,college,Polysemy,Disamis,2,1,Some colleges have chancellors,All colleges are groups of buildings,Some groups of buildings have chancellors,NA,6458,Disamis,0,0,0,0
1_14,1,N2-p-M1,14,answer-P2,0,college,Polysemy,Disamis,2,1,Some colleges have chancellors,All colleges are groups of buildings,Some groups of buildings have chancellors,NA,6458,Disamis,0,1,0,0
1_15,1,N2-p-M1,15,answer-P1,1,toilets,Invalid Filler,Dimatis*,2,1,Some seats are toilets ,All urinals are toilets,Some urinals are seats,NA,6893,Dimatis,0,0,0,0
1_15,1,N2-p-M1,15,answer-P2,1,toilets,Invalid Filler,Dimatis*,2,1,Some seats are toilets ,All urinals are toilets,Some urinals are seats,NA,6893,Dimatis,0,0,0,0
1_16,1,N2-p-M1,16,answer-P1,0,company,Polysemy,Datisi,2,1,All companies are buildings,Some companies are hierarchies,Some hierarchies are buildings,NA,5416,Datisi,0,1,0,0
1_16,1,N2-p-M1,16,answer-P2,1,company,Polysemy,Datisi,2,1,All companies are buildings,Some companies are hierarchies,Some hierarchies are buildings,NA,5416,Datisi,0,0,0,0
1_17,1,N2-p-M1,17,answer-P1,0,ponies,Valid Filler,Darii,2,1,All ponies neigh,Some thoroughbreds are ponies,Some thoroughbreds neigh,NA,6983,Darii,1,0,0,0
1_17,1,N2-p-M1,17,answer-P2,1,ponies,Valid Filler,Darii,2,1,All ponies neigh,Some thoroughbreds are ponies,Some thoroughbreds neigh,NA,6983,Darii,1,1,0,0
1_18,1,N2-p-M1,18,answer-P1,1,match,Homonymy,Dimatis,2,1,Some pay-per-view broadcasts are matches,All matches are fire starters,Some fire starters are pay-per-view broadcasts,NA,11387,Dimatis,0,0,0,0
1_18,1,N2-p-M1,18,answer-P2,0,match,Homonymy,Dimatis,2,1,Some pay-per-view broadcasts are matches,All matches are fire starters,Some fire starters are pay-per-view broadcasts,NA,11387,Dimatis,0,1,0,0
1_19,1,N2-p-M1,19,answer-P1,1,rifles,Valid Filler,Dimatis,2,1,Some safety hazards are rifles,All rifles are guns,Some guns are safety hazards,NA,8336,Dimatis,1,1,0,0
1_19,1,N2-p-M1,19,answer-P2,0,rifles,Valid Filler,Dimatis,2,1,Some safety hazards are rifles,All rifles are guns,Some guns are safety hazards,NA,8336,Dimatis,1,0,0,0
1_20,1,N2-p-M1,20,answer-P1,0,letter,Polysemy,Darii,2,1,All letters have stamps,Some rejections are letters,Some rejections have stamps,NA,8875,Darii,0,1,0,0
1_20,1,N2-p-M1,20,answer-P2,1,letter,Polysemy,Darii,2,1,All letters have stamps,Some rejections are letters,Some rejections have stamps,NA,8875,Darii,0,0,0,0
1_21,1,N2-p-M1,21,answer-P1,0,funerals,Invalid Filler,Darii*,2,1,All anonymous burials are funerals,Some family gatherings are funerals,Some family gatherings are anonymous burials,NA,6863,Darii,0,1,0,0
1_21,1,N2-p-M1,21,answer-P2,1,funerals,Invalid Filler,Darii*,2,1,All anonymous burials are funerals,Some family gatherings are funerals,Some family gatherings are anonymous burials,NA,6863,Darii,0,0,0,0
1_22,1,N2-p-M1,22,answer-P1,1,dolls,Valid Filler,Disamis,2,1,Some dolls are toys,All dolls are man made objects,Some man made objects are toys,NA,6652,Disamis,1,1,0,0
1_22,1,N2-p-M1,22,answer-P2,1,dolls,Valid Filler,Disamis,2,1,Some dolls are toys,All dolls are man made objects,Some man made objects are toys,NA,6652,Disamis,1,1,0,0
1_23,1,N2-p-M1,23,answer-P1,1,school,Polysemy,Dimatis,2,1,Some rectangular buildings are schools,All schools are employers,Some employers are rectangular buildings,NA,7866,Dimatis,0,0,0,0
1_23,1,N2-p-M1,23,answer-P2,0,school,Polysemy,Dimatis,2,1,Some rectangular buildings are schools,All schools are employers,Some employers are rectangular buildings,NA,7866,Dimatis,0,1,0,0
1_24,1,N2-p-M1,24,answer-P1,0,statues,Valid Filler,Darii,2,1,All statues are sculptures,Some artworks are statues,Some artworks are sculptures,NA,8384,Darii,1,0,0,0
1_24,1,N2-p-M1,24,answer-P2,1,statues,Valid Filler,Darii,2,1,All statues are sculptures,Some artworks are statues,Some artworks are sculptures,NA,8384,Darii,1,1,0,0
1_25,1,N2-p-M1,25,answer-P1,0,wave,Homonymy,Datisi,2,1,All waves are water,Some waves are gestures,Some gestures are water,NA,7102,Datisi,0,1,0,0
1_25,1,N2-p-M1,25,answer-P2,1,wave,Homonymy,Datisi,2,1,All waves are water,Some waves are gestures,Some gestures are water,NA,7102,Datisi,0,0,0,0
1_26,1,N2-p-M1,26,answer-P1,1,colors,Invalid Filler,Dimatis*,2,1,Some pastels are colors,All shade of neon green are colors ,Some shades of neon green are pastels,NA,7801,Dimatis,0,0,0,0
1_26,1,N2-p-M1,26,answer-P2,1,colors,Invalid Filler,Dimatis*,2,1,Some pastels are colors,All shade of neon green are colors ,Some shades of neon green are pastels,NA,7801,Dimatis,0,0,0,0
1_27,1,N2-p-M1,27,answer-P1,0,book,Polysemy,Datisi,2,1,All books are printed,Some books are romances,Some romances are printed,NA,10472,Datisi,0,1,0,0
1_27,1,N2-p-M1,27,answer-P2,1,book,Polysemy,Datisi,2,1,All books are printed,Some books are romances,Some romances are printed,NA,10472,Datisi,0,0,0,0
1_28,1,N2-p-M1,28,answer-P1,1,clowns,Valid Filler,Disamis,2,1,Some clowns are mimes,All clowns are entertainers,Some entertainers are mimes,NA,8125,Disamis,1,1,0,0
1_28,1,N2-p-M1,28,answer-P2,0,clowns,Valid Filler,Disamis,2,1,Some clowns are mimes,All clowns are entertainers,Some entertainers are mimes,NA,8125,Disamis,1,0,0,0
1_29,1,N2-p-M1,29,answer-P1,0,picnic,Polysemy,Darii,2,1,All picnics happen in nature,Some salads are picnics,Some salads happen in nature,NA,7086,Darii,0,1,0,0
1_29,1,N2-p-M1,29,answer-P2,1,picnic,Polysemy,Darii,2,1,All picnics happen in nature,Some salads are picnics,Some salads happen in nature,NA,7086,Darii,0,0,0,0
1_30,1,N2-p-M1,30,answer-P1,0,suit,Homonymy,Dimatis,2,1,Some court proceedings are suits,All suits are formal outfits,Some formal outfits are court proceedings,NA,9178,Dimatis,0,1,0,0
1_30,1,N2-p-M1,30,answer-P2,0,suit,Homonymy,Dimatis,2,1,Some court proceedings are suits,All suits are formal outfits,Some formal outfits are court proceedings,NA,9178,Dimatis,0,1,0,0
1_31,1,N2-p-M1,31,answer-P1,1,swords,Valid Filler,Dimatis,2,1,Some sharp things are swords,All swords are weapons,Some weapons are sharp things,NA,7479,Dimatis,1,1,0,0
1_31,1,N2-p-M1,31,answer-P2,0,swords,Valid Filler,Dimatis,2,1,Some sharp things are swords,All swords are weapons,Some weapons are sharp things,NA,7479,Dimatis,1,0,0,0
1_32,1,N2-p-M1,32,answer-P1,1,steaks,Invalid Filler,Dimatis*,2,1,Some delicious entrées are steaks,All rotten ribeyes are steaks,Some rotten ribeyes are delicious entrées,NA,13520,Dimatis,0,0,0,0
1_32,1,N2-p-M1,32,answer-P2,1,steaks,Invalid Filler,Dimatis*,2,1,Some delicious entrées are steaks,All rotten ribeyes are steaks,Some rotten ribeyes are delicious entrées,NA,13520,Dimatis,0,0,0,0
1_33,1,N2-p-M1,33,answer-P1,1,singers,Valid Filler,Disamis,2,1,Some singers are guitarists,All singers are vocalists,Some vocalists are guitarists,NA,14559,Disamis,1,1,0,0
1_33,1,N2-p-M1,33,answer-P2,1,singers,Valid Filler,Disamis,2,1,Some singers are guitarists,All singers are vocalists,Some vocalists are guitarists,NA,14559,Disamis,1,1,0,0
1_34,1,N2-p-M1,34,answer-P1,1,dresses,Invalid Filler,Disamis*,2,1,Some dresses are cocktail outfits,All ball gowns are dresses ,Some ball gowns are cocktail outfits,NA,11169,Disamis,0,0,0,0
1_34,1,N2-p-M1,34,answer-P2,0,dresses,Invalid Filler,Disamis*,2,1,Some dresses are cocktail outfits,All ball gowns are dresses ,Some ball gowns are cocktail outfits,NA,11169,Disamis,0,1,0,0
1_35,1,N2-p-M1,35,answer-P1,1,change,Homonymy,Disamis,2,1,Some change is transformation,All change is money,Some money is transformation,NA,7789,Disamis,0,0,0,0
1_35,1,N2-p-M1,35,answer-P2,0,change,Homonymy,Disamis,2,1,Some change is transformation,All change is money,Some money is transformation,NA,7789,Disamis,0,1,0,0
1_36,1,N2-p-M1,36,answer-P1,1,ruler,Homonymy,Dimatis,2,1,Some queens are rulers,All rulers are standard lengths,Some standard lengths are queens,NA,8825,Dimatis,0,0,0,0
